Borrowers,Categories,Lenders,Time of Loan Execution,Term of the Loan,External Reviewer,Loan Amount,Currency,Sustainability Performance Targets,Characteristics of the loan,Reporting Policy
HABITATION,Others (including service industry),"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.11,billion yen,"CO2 emissions from business activities（t-CO2）
【Target】
(t-CO2, figures in parentheses indicate reduction rate from 2022/3)
March 2023: 5,098.88 (-3.00%)
March 2024: 4,941.19 (-6.00%)
March 2025: 4,783.49 (-9.00%)
March 2026: 4,625.79 (-12.00%)
March 2027: 4,468.09 (-15.00%)","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
Japan Real Estate Investment Corporation,Finance (including REITs),Sumitomo Mitsui Banking Corporation,"March, 2023",4 years,ー,3,billion yen,"Reduce total CO2 emissions in FY2030 by 80% compared to FY2019, and interim reduction targets in line with this",Lending terms linked to interest rate conditions based on the degree of achievement of SPTs.,ー
Japan Real Estate Investment Corporation,Finance (including REITs),Sumitomo Mitsui Banking Corporation,"March, 2023",10 years,ー,3,billion yen,"Reduce total CO2 emissions in FY2030 by 80% compared to FY2019, and interim reduction targets in line with this",Lending terms linked to interest rate conditions based on the degree of achievement of SPTs.,ー
"TATEYAMA KAGAKU CO., LTD.","Electronic components, devices, information equipment, etc.","THE FIRST BANK OF TOYAMA, LTD.","March, 2023",4 years,"Rating & Investment Information, Inc.",ー,,"Increase Tateyama Kagaku's sales of services to watch over the elderly to a level of approx. 3.5% in FY2023, approx. 11% in FY2024, and approx. 20% in FY2025, compared to FY2021 results.",It is designed to look at the achievement of the SPT each period and lower the applicable spread if it is achieved.,Tateyama Kagaku will provide the lender with materials showing the results of KPI (sales of services for watching over the elderly) after receiving third-party verification in the immediately preceding period by the reporting deadline.
"TOSHO GIKEN CO., LTD.",Real estate and construction,"The Ehime Bank, Ltd.","March, 2023",10 years,Himegin Information Center (ひめぎん情報センター),0.02,billion yen,"①Conduct stress checks on all employees every year.
②Conduct group analysis based on stress check results every year, and share and discuss the results at the Health Committee.
③Increase the percentage of employees aged 45 and over who receive physical examinations to 100%.",The incentive design is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"Tosho Giken will report to the Ehime Bank on the status of SPTs achievement once a year over the term of the loan, and will also disclose this information to the public."
"Tottori Gas Co., Ltd.
Tottori Gas Sangyo Co., Ltd.
Tottori Citizen's Electricity（とっとり市民電力）",Energy,"THE TOTTORI BANK, LTD","March, 2023",ー,"Rating & Investment Information, Inc.",ー,,100% renewable energy use by 2030,"To motivate borrowers to achieve SPTs, the incentive design reduces the interest rate upon achievement.","Once a year over the term of the loan, the borrower will report to its sales offices the actual results of KPIs that show the progress in achieving SPTs and the results of verification by a third-party professional organization, etc. as a report. In principle, the contents of the reports will not be made public on the borrower's website, etc."
Japan Real Estate Investment Corporation,Finance (including REITs),The Norinchukin Bank,"March, 2023",10 years,"Japan Credit Rating Agency, Ltd.",3.5,billion yen,"①CO2 emission reduction rate (Target for FY2030: 80% reduction from FY2019)
②Number of properties with ZEB certification:5 buildings","In order to incentivize the realization of JRE's sustainability strategy, the timing of interest rate review is set multiple times until the repayment date arrives, and the progress of SPTs is linked to the loan terms and conditions, etc.","JRE plans to disclose the performance of KPIs to lenders once a year. In addition, JRE plans to obtain third-party verification of the progress of the SPTs established under the loan from an external certification body."
Kao Corporation,Chemical Industry,Sumitomo Mitsui Banking Corporation,"March, 2023",4 years,ー,ー,,At least 2 A ratings out of CDP Climate Change/Forest/Water Security Scores,Lending terms are linked to interest rate terms based on the degree of achievement of the SPTs.,ー
"MK Taxi
（エムケイ）",Transportation,Kyoto Chuo Shinkin Bank,"March, 2023",ー,"Japan Credit Rating Agency, Ltd.",ー,,"Reduction of CO2 emissions from business activities 
(Actual emissions in base year: 10,764.4 t) 
【Targets】 (Figures in parentheses indicate reduction rate) 
FY2022 11,919.3t (-5.1%) 
FY2023 11,805.4t (-6.0%) 
FY2024 11,735.9t (-6.5%)",Incentives such as preferential interest rates are given based on the achievement of SPTs,Emission reduction plans and reduction reports of the borrower will be published on the Kyoto Prefecture website once a year until the loan is repaid.
"New Horizon Capital Co., Ltd. ",Finance (including REITs),"Syndication method 
(Arranger:Aozora Bank, Ltd.）
The Joyo Bank, Ltd.　etc.","March, 2023",ー,"Rating & Investment Information, Inc.",ー,,"Acquisition of shares in KAIXIA Corporation, which is expected to make a significant contribution to reducing environmental impact.（LBO）","The interest rate will be reduced in case of achievement of SPTs or increased in case of non-achievement of SPTs, and whether the changed interest rate is cumulative or not will be considered on a case-by-case basis, taking into account the borrower's business characteristics and the details of the SPTs.","The borrower shall submit annually over the term of the loan the actual results of the KPIs and the results of the verification by a third-party professional organization that shows the achievement status of the SPTs through documents, web pages, and other publicly available materials. The content of the reporting will not be made public on the borrower's website."
"RESIDENTIAL REAL ESTATE Co.,Ltd.",Real estate and construction,"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.1,billion yen,"Reduction rate of CO2 emissions per 100 million yen of sales (FY2022 basis)
FY2023: 2.70%, FY2024: 5.40%, FY2025: 8.10%, FY2026: 10.80%","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"Someno's TOFU Co.,Ltd","Food, Beverages, Tobacco, etc.","The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.1,billion yen,"CO2 emissions from business activities（t-CO2）
(actual results: FY2021 (April 2021 - March 2022) CO2 emissions 510.13 t-CO2) 
【Target】
 (t-CO2, figures in parentheses indicate reduction rate compared to FY2021) 
FY2023: 482.58 (-5.4%) 
FY2024: 468.81 (-8.1%) 
FY2025: 455.04 (-10.8%)
FY2026: 441.26 (-13.5%)","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
YAMAYOSHI KOGYO,Real estate and construction,"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.1,billion yen,"CO2 emissions per 100 million yen of sales (t-CO2)
FY2022: 819.00, FY2023: 796.28, FY2024: 773.55, FY2025: 750.82, FY2026: 728.10","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
Aki Metal Industries Ltd.,Manufacturing,"The Hiroshima Bank, Ltd. ","March, 2023",5 years,HIROGIN area design Co. Ltd. ,0.03,billion yen,"①Male employees taking maternity leave: 100%.
②Improvement of paid leave utilization rate",Offer preferential interest rates when SPTs are achieved.,"Once a year, the SPTs achievement status is defined as a confirmation of the company's achievement of the SPTs with the value of the company's fiscal year. A company is required to obtain confirmation from Hirogin Area Design before conducting reporting. Public disclosure of reporting information is encouraged."
"HAMADA PRESS TECHNICAL MFG.CO.,LTD.",Real estate and construction,"The Bank of Kyoto, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.",ー,,"Reduction of CO2 emissions from business activities 
(Actual emissions in base year: 1,665.7t）
【Targets】 (Figures in parentheses indicate reduction rate) 
FY2022　1,593.0t (－4.4％)
FY2023　1,589.4t (－4.6％)
FY2024　1,585.9t (－4.8％)",Incentives such as preferential interest rates are given based on the achievement of SPTs,Emission reduction plans and reduction reports of the borrower will be published on the Kyoto Prefecture website once a year until the loan is repaid.
IB Transport Inc.,Transportation,"The Chiba Bank, Ltd.","March, 2023",ー,"Rating & Investment Information, Inc.
Chibagin Research Institute Corporation",0.2,billion yen,"Reduction rate of CO2 emissions per ton-kilometer transported (FY2022 basis)　
FY2023: 1.24%, FY2024: 2.48%, FY2025: 3.72%, FY2026: 4.96%","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"RICOH LEASING COMPANY, LTD.",Finance (including REITs),"Syndication method 
(Arranger:Daishi Hokuetsu Bank, Ltd、The Gunma Bank,Ltd.）
Daishi Hokuetsu Bank, Ltd、The Gunma Bank,Ltd.、The Chugoku Bank, Ltd、THE SHIGA BANK，LTD．、THE TOHO BANK, LTD.","March, 2023",ー,"Rating & Investment Information, Inc.",ー,,"Maintain Leadership Level (A, A-) on CDP Climate Change Score","Funding interest rate terms and conditions are linked to Ricoh Leasing's achievement of SPT, which acts as an incentive to achieve SPT.","Ricoh Leasing discloses the KPI scores as of the last day of each fiscal year (March 31) and information that may affect the achievement of the SPT (e.g., setting and updating sustainability strategies, formulating and implementing the action plan, etc.) as environmental and social activity results on its website annually."
